Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Hazardous Materials: Enforcement Regulations,,,,,,,,,,,Red
67,,,,,,,,,,,
Popular Title: Package Inspection Authority,,,,,,,,,,,
RIN 2137-AE13,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 10/02/2008;End of Comment Period 12/01/2008.,,,,,,,,,,,
"Abstract: Pursuant to a mandate in SAFETEA-LU (section 7118 of P.L. 109-59), this rulemaking would establish procedural regulations to implement authority provided to DOT to open packages believed to contain hazardous materials; remove such packages from transportation; gather information; order the package transported to a facility for examination and analysis; obtain assistance from qualified persons; and issue emergency restrictions, prohibitions, recalls, or out-of-service orders to abate an imminent hazard.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Temporary Rule : 10/11/2005,,,,,,,,,,,
Final Rule : 08/10/2006,,,,,,,,,,,
Rulemaking Project Initiated: 08/10/2005,,,,,,,,,,,
Docket Number: PHMSA-2005-22356,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,12/22/09,,,,,,,,,,
To OMB,1/26/10,,,,,,,,,,
OMB Clearance,4/26/10,,,,,,,,,,
Publication Date,5/1/10,,,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Pipeline Safety: Distribution Integrity Management,,,,,,,,,,,Red
68,,,,,,,,,,,
Popular Title: Distribution Integrity Management,,,,,,,,,,,
RIN 2137-AE15,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: NPRM Publication Date 06/25/2008;End of Comment Period 09/23/2008;End of Extended Comment Period 10/23/2008,,,,,,,,,,,
Abstract: This rulemaking would establish integrity management program requirements appropriate for gas distribution pipeline operators. This rulemaking would require gas distribution pipeline operators to develop and implement programs to better assure the integrity of their pipeline systems.,,,,,,,,,,,
Effects:,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,
Information Collection Prompting action: Statute Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 03/02/2006,,,,,,,,,,,
Docket Number: PHMSA-04-19854,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,2/19/09,,5/22/09,,5/20/09,,,,,,
To OMB,3/25/09,,8/4/09,,8/6/09,,,,,,
OMB Clearance,6/23/09,,11/4/09,,,,,,,,
Publication Date,6/30/09,,11/16/09,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Hazardous Materials: Risk-Based Adjustment of Transportation Security Plan Requirements,,,,,,,,,,,Red
69,,,,,,,,,,,
Popular Title: Security Plans,,,,,,,,,,,
RIN 2137-AE22,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 9/8/2008; End of Comment Period 11/10/2008.,,,,,,,,,,,
"Abstract: In response to two industry petitions for rulemaking, this rulemaking will reconsider and refine the list of hazardous materials for which security plans are currently required. The industry petitioners asked PHMSA to amend the security plan regulations to create a distinction between hazardous materials that present a significant security risk while in transportation and the vast majority of hazardous materials that pose no significant security risk in transportation.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 05/01/2006 Docket Number: PHMSA-2006-25885 Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,5/1/09,,9/2/09,,9/4/09,,,,,,
To OMB,6/4/09,,10/16/09,,,,,,,,
OMB Clearance,9/4/09,,1/16/10,,,,,,,,
Publication Date,9/14/09,,1/23/10,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Pipeline Safety: Control Room Management/Human Factors,,,,,,,,,,Green,
70,,,,,,,,,,,
Popular Title: Control Room Management/Human Factors,,,,,,,,,,,
RIN 2137-AE28,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 09/12/2008;End of Comment Period 11/12/2008,,,,,,,,,,,
"Abstract: This rulemaking would require operators of natural gas pipelines, hazardous liquid pipelines, and liquefied natural gas (LNG) facilities, to identify and employ specific procedures to improve control room operations, controller training, and controller qualifications. It would require operators to develop, implement, and submit to PHMSA (or the appropriate State), a human factors management plan designed to reduce risks associated with human factors. This would require operators to include in their plans a maximum limit on the hours of service for individuals employed as controllers. It would also require operators to periodically review their management of computer-based control system alarms and to verify that the control systems provide accurate and timely information to controllers. This rulemaking would further require each operator to validate the implementation of the program elements applicable to their individual control system.",,,,,,,,,,,
Effects:,,,,,,,,,,,
None,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 08/10/2007 Docket Number: PHMSA-2007-27954 Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,7/20/09,,,,5/26/09,,,,,,
To OMB,8/21/09,,,,8/6/09,,,,,,
OMB Clearance,11/20/09,,,,,,,,,,
Publication Date,11/27/09,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Hazardous Materials; Combination Packages Containing Liquids Intended for Transport by Aircraft,,,,,,,,,Yellow,,
71,,,,,,,,,,,
Popular Title: Air Packaging,,,,,,,,,,,
RIN 2137-AE32,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage: ANPRM: Publication 7/07/2008; End of Comment Period 9/5/2008.,,,,,,,,,,,
"Abstract: Incident data and testing conducted on behalf of DOT indicate many combination packagings authorized for the transportation of hazardous materials may not withstand conditions normally incident to air transportation. PHMSA is considering measures to reduce the incidence of package failures and to minimize the consequences of failures should they occur. This rulemaking would require additional measures to verify packaging integrity, such as performance testing, and revisions to packaging requirements, such as the addition of liners or absorbent material.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 06/04/2007 Docket Number: PHMSA-07-29364 Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,7/10/09,,10/13/09,,,,,,,
To OMB,,8/13/09,,11/16/09,,,,,,,
OMB Clearance,,11/13/09,,2/15/10,,,,,,,
Publication Date,,11/20/09,,2/22/10,,,,,,,
End of Comment Period,,1/20/10,,4/23/10,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Hazardous Materials: Bulk Loading and Unloading Operations,,,,,,,,,,Green,
72,,,,,,,,,,,
Popular Title: Loading/Unloading,,,,,,,,,,,
RIN 2137-AE37,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
"Abstract: This rulemaking would request information from industry that would consider whether additional requirements governing bulk loading and unloading operations are necessary. PHMSA has reviewed transportation incident data and findings of several National Transportation Safety Board and Chemical Satety Board accident investigations involving bulk hazardous materials loading and unloading operations, which suggest there may be opportunities to enhance the safety of such operations. In particular, PHMSA is examining what, if any, safety benefits would accrue from a requirement for persons conducting bulk loading and unloading operations to develop and implement operating procedures governing these operations. PHMSA has decided to publish a proposed rule instead of a pre-rule.",,,,,,,,,,,
Effects:,,,,,,,,,,,
Information Collection,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 10/28/2008 Docket Number: PHMSA-2007-28119 Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,2/12/10,,,,,,,,,
To OMB,,3/18/10,,,,,,,,,
OMB Clearance,,6/16/10,,,,,,,,,
Publication Date,,6/23/10,,,,,,,,,
End of Comment Period,,8/23/10,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Hazardous Materials: Revisions to Requirements for the Transportation of Lithium Batteries,,,,,,,,,Yellow,,
73,,,,,,,,,,,
Popular Title: Transportation of Lithium Batteries,,,,,,,,,,,
RIN 2137-AE44,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
Abstract: This rulemaking would amend the Hazardous Materials Regulations to comprehensively address the safe transportation of lithium cells and batteries. The intent of the rulemaking is to strengthen the current regulatory framework by imposing more effective,,,,,,,,,,,
"safeguards, including design testing to address risks related to internal short circuits, and",,,,,,,,,,,
"enhanced packaging, hazard communication, and operational measures for various types and sizes of lithium batteries in specific transportation contexts. The rulemaking responds to several recommendations issued by the National Transportation Safety Board.",,,,,,,,,,,
Effects:,,,,,,,,,,,
Regulatory Flexibility Act,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 03/26/2009,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,8/3/09,,9/10/09,,8/20/09,,,,,
To OMB,,9/4/09,,9/23/09,,9/9/09,,,,,
OMB Clearance,,12/4/09,,12/23/09,,,,,,,
Publication Date,,12/14/09,,12/30/09,,,,,,,
End of Comment Period,,2/19/10,,3/1/10,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Hazardous Materials: Safety Requirements for External Product Piping on Cargo Tanks Transporting Flammable Liquids (Wetlines),,,,,,,,,,Green,
74,,,,,,,,,,,
Popular Title: Wetlines,,,,,,,,,,,
RIN 2137-AE53,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
Abstract: The rulemaking would amend the Hazardous Materials Regulations to prohibit flammable liquids from being transported in unprotected product piping on existing and newly manufactured DOT specification cargo tank motor vehicles.,,,,,,,,,,,
Effects:,,,,,,,,,,,
None,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 09/01/2009,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,12/24/09,,,,,,,,,
To OMB,,1/28/10,,,,,,,,,
OMB Clearance,,4/28/10,,,,,,,,,
Publication Date,,5/5/10,,,,,,,,,
End of Comment Period,,7/5/10,,,,,,,,,
