,agency,date,title,fulltitle,color,RIN,stage,PrevStage,abstract,effect1,effect2,effect3,effect4,effect5,effect6,effect7,prompt,legaldeadline1,legaldeadline2,legaldeadline3,legaldeadline4,legaldeadline5,legaldeadline6,initiated,docket,toOSTscheduled,toOSTprojected,toOSTactual,withdrawnOSTscheduled,withdrawnOSTprojected,withdrawnOSTactual,toModescheduled,toModeprojected,toModeactual,resubmitOSTscheduled,resubmitOSTprojected,resubmitOSTactual,toOMBscheduled,toOMBprojected,toOMBactual,withdrawnOMBscheduled,withdrawnOMBprojected,withdrawnOMBactual,toMode2scheduled,toMode2projected,toMode2actual,resubmitOST2scheduled,resubmitOST2projected,resubmitOST2actual,toMode3scheduled,toMode3projected,toMode3actual,resubmitOST3scheduled,resubmitOST3projected,resubmitOST3actual,resubmitOMB2scheuled,resubmitOMB2projected,resubmitOMB2actual,clearOMBscheduled,clearOMBprojected,clearOMBactual,publicationapprovedscheduled,publicationapprovedprojected,publicationapprovedactual,publicationscheduled,publicationprojected,publicationactual,endcommentscheduled,endcommentprojected,endcommentactual,extcommentscheduled,extcommentprojected,extcommentactual,endcomment2scheduled,endcomment2projected,endcomment2actual,whydelay1,whydelay2,whydelay3,whydelay4,whydelay5,whydelay6,whydelay7,whydelay8,fedreg
1,National Highway Traffic Safety Administration,201203,Popular Title: Light Vehicle Upgrade of EDR Requirements,Upgrade of Event Data Recorder Requirements,Red,RIN 2127-AK87,Stage: Undetermined,Previous Stage:None,"Abstract: This rulemaking would expand the utility of the amount and type of data Event Data Recorders (EDRs) capture in light vehicles in the event of a crash. The rulemaking would consider requiring some of the optional data elements specified in 49 CFR Part 563. Part 563 established the current reporting requirement of voluntarily installed EDRs in light vehicles. In addition, this rulemaking would make revisions to the optional data elements to account for the latest advances in vehicle safety. Part 563 presently requires vehicle manufacturers who are voluntarily installing EDRs to be in compliance with the regulation by September 1, 2012. In a separate rulemaking (2127-AK86 Mandatory Part 563 Event Data Recorder Requirements), the agency would propose requiring that all light vehicles comply with the requirements specified in current 49 CFR 563. This rulemaking would seek additional information from the public and expand upon that initiative. Moreover, this rulemaking would contribute to advancements in vehicle designs, advanced restraints and other safety countermeasures. The costs are expected to be minimal since some vehicle manufacturers presently capture additional data beyond Part 563 in their EDRs. Originally, an ANPRM was scheduled for 12/31/2011.",,,,,,,,Prompting action: None,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 02/22/2011,Docket Number:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Lack of resources Federal Register Citation for Undetermined: None      ,,,,Lack of resources,,,,Federal Register Citation for Undetermined: None
2,National Highway Traffic Safety Administration,201203,Popular Title: Heavy Vehicle Speed Limiters,Heavy Vehicle Speed Limiters,Red,RIN 2127-AK92,Stage: NPRM,Previous Stage:None,"Abstract: This rulemaking would respond to petitions from ATA and Roadsafe America to require the installation of speed limiting devices on heavy trucks. In response, NHTSA requested public comment on the subject and received thousands of comments supporting the petitioner‰Ûªs request. Based on the available safety data and the ancillary benefit of reduced fuel consumption, this rulemaking would consider a new Federal Motor Vehicle Safety Standard that would require the installation of speed limiting devices on heavy trucks. We believe this rule would have minimal cost, as all heavy trucks already have these devices installed, although some vehicles do not have the limit set. This rule would decrease the estimated 8991 fatalities caused by crashes involving heavy trucks and buses. It would also increase the fleet fuel efficiency of these vehicles.",Economically Significant Major,,,,,,,Prompting action: None,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 03/18/2011,Docket Number: Dates for NPRM:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for NPRM: None
3,National Highway Traffic Safety Administration,201203,Popular Title: Quieter Vehicles Sound Alert,Sound for Hybrid and Electric Vehicles,Green,RIN 2127-AK93,Stage: NPRM,Previous Stage:None,"Abstract: This rulemaking would respond to The Pedestrian Safety Enhancement Act of 2010, which directs the Secretary of Transportation to study and establish a motor vehicle safety standard that provides for a means of alerting blind and other pedestrians of motor vehicle operation. NHTSA is conducting research in this area and has not yet developed an estimate for the potential costs and benefits associated with this rulemaking action.",EU NAFTA,Foreign,,,,,,Prompting action: None,Legal Deadline: Initiate rulemaking : 07/05/2012,NA,NA,NA,NA,NA,Final Rule : 01/03/2014 Rulemaking Project Initiated: 03/18/2011 Docket Number:,Docket Number: Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for NPRM: None      ,,,,,,,,Federal Register Citation for NPRM: None
4,National Highway Traffic Safety Administration,201203,Popular Title: Motorcoach Rollover Structural Integrity,Motorcoach Rollover Structural Integrity,Red,RIN 2127-AK96,Stage: NPRM,Previous Stage:None,"Abstract: This rulemaking would promulgate a new FMVSS for rollover structural integrity requirements for motorcoaches. In August 2007, NHTSA published a motorcoach safety plan identifying four specific priority items: seat belts on motorcoaches, rollover structural integrity, emergency evacuation, and fire safety. The DOT published a comprehensive motorcoach safety action plan in November 2009 that reiterated NHTSA‰Ûªs motorcoach safety priorities. This rulemaking also addresses 6 recommendations issued by the NTSB on motorcoach roof strength and structural integrity.",,,,,,,,Prompting action: None,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 03/18/2011,Docket Number: Dates for NPRM:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for NPRM: None
5,National Highway Traffic Safety Administration,201203,Popular Title: Truck Tractor Electronic Stability Control,Electronic Stability Control Systems for Heavy Vehicles,Red,RIN 2127-AK97,Stage: NPRM,Previous Stage:None,"Abstract: This rulemaking would promulgate a new Federal standard that would require stability control systems on truck tractors and motorcoaches that address both rollover and loss of control crashes, after an extensive research program to evaluate the available technologies, an evaluation of the costs and benefits, and a review of manufacturerå«s product plans. Rollover and loss of control crashes involving heavy vehicles is a serious safety issue that is responsible for 304 fatalities and 2,738 injuries annually. They are also a major cause of traffic tie-ups, resulting in millions of dollars of lost productivity and excess energy consumption each year. Suppliers and truck and motorcoach manufacturers have developed stability control technology for heavy vehicles to mitigate these types of crashes. Our preliminary estimate produces an effectiveness range of thirty-seven to fifty-six percent against single-vehicle tractor-trailer rollover crashes and three to fourteen percent against  loss of control crashes that result from skidding on the road surface. With these effectiveness estimates, annually, we estimate 29 - 66 lives would be saved, 517 - 979 MAIS 1-5 injuries would be reduced, and 810 - 1,693 crashes that involved property damage only would be eliminated. Additionally, it would save $10 - $26 million in property damage and travel delays. Based on the technology unit costs and affected vehicles, we estimate technology costs would be $55 to 107 million, annually. However, the costs savings from reducing travel delay and property damage would produce net benefits of $128 - $372 million.",Economically Significant Major,,,,,,,Federalism Prompting action: None Legal Deadline: None,Legal Deadline: Unknown,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 03/18/2011,Docket Number: Dates for NPRM:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for NPRM: None
6,National Highway Traffic Safety Administration,201203,Popular Title: Novelty Helmets Enforcement,FMVSS No. 218 and Enforcement Policy Concerning Novelty Helmets,Green,RIN 2127-AL01,Stage: NPRM,Previous Stage:None,Abstract: This rulemaking would establish an enforcement policy regarding novelty motorcycle helmets. These are helmets that are currently not certified by their manufacturers as being compliant with FMVSS No. 218. This rulemaking would also add an appendix to FMVSS No. 218 to serve as a guide for motorcyclists and local law enforcement personnel in identifying compliant motorcycle helmets.,EU NAFTA,Foreign,,,,,,Prompting action: None,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 04/21/2011,Docket Number: Dates for NPRM:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for NPRM: None
7,National Highway Traffic Safety Administration,201203,Popular Title: Window Glazing (RRR),"Part 571 FMVSS No. 205, Glazing Materials, GTR (RRR)",Green,RIN 2127-AL03,Stage: NPRM,Previous Stage:None,"Abstract: This rulemaking would enhance FMVSS No. 205 by adopting a Global Technical Regulation (GTR), which contains updated performance tests for glazing materials that are composed of glass, laminated glass, or glass faced with plastic compared to what is currently in FMVSS No. 205. The tests in the GTR would allow manufacturers to achieve efficiencies in the certification process while not degrading safety or imposing new burdens.",EU NAFTA,Foreign,,,,,,Prompting action: 2011 Retrospective Regulatory Review,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 04/22/2011,Docket Number:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explanation for any delay: Other, higher priorities Federal Register Citation for NPRM: None      ",,,,,"Other, higher priorities",,,Federal Register Citation for NPRM: None
8,Office of the Secretary,201203,Popular Title: SSI-TSA,Protection of Sensitive Security Information,Red,RIN 2105-AD59,Stage: Undetermined,Previous Stage: Interim Final Rule: Publication Date 05/18/2004; End of Comment Period 07/19/2004.,Abstract: This rulemaking would finalize a May 2004 interim final rule and respond to any comments received on that action. This is a joint rulemaking between DOT and the Transportation Security Administration. A final rule was originally scheduled for 10/31/06.,,,,,,,,Prompting action: None,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 09/02/2002,Docket Number: TSA-2003-15569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for Undetermined: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for Undetermined: None
9,Office of the Secretary,201203,Popular Title: Defense Production Act (DPA),Prioritization and Allocation Authority Exercised By the Secretary of Transportation Under the Defense Production Act,Red,RIN 2105-AD83,Stage: Final Rule,Previous Stage: NPRM: Publication Date 02/15/2011; End of Comment Period 03/17/2011.,"Abstract: This rulemaking would clarify the prioritization and allocation authorities exercised by the Secretary of Transportation under the Defense Production Act (DPA). The DPA is the Presidentå«s primary authority to ensure timely availability of private sector resources for national defense. In addition to military and energy activities, the definition of ""national defense"" includes emergency preparedness activities conducted pursuant to Title   VI of The Robert T. Stafford Disaster Relief and Emergency Assistance Act and the protection and restoration of critical infrastructure. Under Title I of the DPA, the President has the authority to require the acceptance and prioritization of contracts and orders -- and to allocate materials, services, and facilities -- in support of the national defense. Under Section 201 of Executive Order 12919, the President has delegated these prioritization and allocation authorities to the Secretary of Transportation for all forms of civil transportation. In the 2009 DPA reauthorization legislation, Congress mandated that each Federal agency with delegated authority under Title I of the DPA develop final rules that establish standards and procedures for implementing its delegated authority in emergency and nonemergency conditions. Additionally, Congress mandated that, to the extent practicable, the rules be consistent and unified. DOT is part of an interagency working group, along with the other delegated agencies, that is developing consistent unified rules.",Information Collection,,,,,,,Prompting action: Statute,Legal Deadline: Final rule : 06/27/2010 Rulemaking Project Initiated: 01/07/2009 Docket Number:,NA,NA,NA,NA,NA,Rulemaking Project Initiated: Unknown,Docket Number: Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Final Rule: None      ,,,,,,,,Federal Register Citation for Final Rule: None
10,Office of the Secretary,201203,Popular Title: Seat-Strapping,Use of the Seat-Strapping Method for Carrying a Wheelchair on an Aircraft,Yellow,RIN 2105-AD87,Stage: Final Rule,Previous Stage: NPRM: Publication Date 06/03/2011; End of Comment Period 08/02/2011.,Abstract: This rulemaking would address whether carriers should be allowed to utilize the seat-strapping method to stow a passengerå«s wheelchair in the aircraft cabin.,Regulatory Flexibility Act,,,,,,,Prompting action: None,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 04/30/2009,Docket Number: Dates for Final Rule:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Final Rule: None      ,,,,,,,,Federal Register Citation for Final Rule: None
