,agency,date,title,fulltitle,color,RIN,stage,PrevStage,abstract,effect1,effect2,effect3,effect4,effect5,effect6,effect7,prompt,legaldeadline1,legaldeadline2,legaldeadline3,legaldeadline4,legaldeadline5,legaldeadline6,initiated,docket,toOSTscheduled,toOSTprojected,toOSTactual,withdrawnOSTscheduled,withdrawnOSTprojected,withdrawnOSTactual,toModescheduled,toModeprojected,toModeactual,resubmitOSTscheduled,resubmitOSTprojected,resubmitOSTactual,toOMBscheduled,toOMBprojected,toOMBactual,withdrawnOMBscheduled,withdrawnOMBprojected,withdrawnOMBactual,toMode2scheduled,toMode2projected,toMode2actual,resubmitOST2scheduled,resubmitOST2projected,resubmitOST2actual,toMode3scheduled,toMode3projected,toMode3actual,resubmitOST3scheduled,resubmitOST3projected,resubmitOST3actual,resubmitOMB2scheuled,resubmitOMB2projected,resubmitOMB2actual,clearOMBscheduled,clearOMBprojected,clearOMBactual,publicationapprovedscheduled,publicationapprovedprojected,publicationapprovedactual,publicationscheduled,publicationprojected,publicationactual,endcommentscheduled,endcommentprojected,endcommentactual,extcommentscheduled,extcommentprojected,extcommentactual,endcomment2scheduled,endcomment2projected,endcomment2actual,whydelay1,whydelay2,whydelay3,whydelay4,whydelay5,whydelay6,whydelay7,whydelay8,fedreg
1,Federal Motor Carrier Safety Administration,201003,Popular Title: HOS,Hours of Service,Green,RIN 2126-AB26,Stage: NPRM,Previous Stage:None,"Abstract: On October 26, 2009, Public Citizen, et al. (Petitioners) and FMCSA entered into a settlement agreement under which Petitioners« petition for judicial review of the November 19, 2008, Final Rule on  drivers« hours of service will be held in abeyance pending the publication of an NPRM reevaluating the issue. We are reaching out to the public for information, research, data, and ideas for the NPRM. These efforts include a public meeting with the Motor Carrier Safety Advisory Committee, December 7-9, 2009, and a series of  public meetings around the country starting January 19, 2010.",,,,,,,,Prompting action: Settlement Agreement,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 10/26/2009,Docket Number: Dates for NPRM:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for NPRM: None      ,,,,,,,,Federal Register Citation for NPRM: None
2,Federal Railroad Administration,201003,Popular Title: Roadway Worker Protection; Adjacent-Track On-Track,Roadway Worker Protection; Adjacent-Track On-Track Safety,Green,RIN 2130-AB96,Stage: Final Rule,Previous Stage: NPRM: Publication Date 11/25/2009; End of Comment Period 1/25/2010.,"Abstract: This rulemaking would simplify the determination regarding whether or not adjacent track protection is required for roadway work groups engaged in large-scale maintenance or construction, pursuant to 49 CFR Part 214. The recent increase in roadway worker fatalities that have occurred on adjacent track has caused some concern at FRA and throughout the industry, even prompting the filing of a petition for emergency order. FRA issued a notice of safety advisory to address the issue in May of 2004; however, it appears that the effects were not long-lasting. This rulemaking is based on the consensus language developed through the Roadway Worker Protection (RWP) Working Group of FRA«s Railroad Safety Advisory Committee (RSAC).",,,,,,,,Prompting action: Secretarial/Head of Operating Administration Decision,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 08/20/2008,Docket Number: FRA-2008-0059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Final Rule: None      ,,,,,,,,Federal Register Citation for Final Rule: None
3,Positive Train Control,201003,Popular Title: Positive Train Control Implementation,Positive Train Control,Red,RIN 2130-AC03,Stage: Final Rule,Previous Stage: NPRM: Publication Date 07/21/2009; End of Comment Period 08/20/2009.,"Abstract: This rulemaking would regulate the submission of Positive Train Control plans; the implementation of the Positive Train Control Systems; and the qualification, installation, maintenance and use of the these systems required under 49 USC 20157 or specifically required by the Federal Railroad Administration.",Economically Significant Major,,,,,,Regulatory Flexibility Act,Regulatory Flexibility Act Prompting action: Statute Legal Deadline: None,Legal Deadline: Unknown,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 10/16/2008,Docket Number: FRA-2008-0132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for Final Rule: 75 FR 2598      ,,,,,,Unanticipated issues requiring further analysis,,Federal Register Citation for Final Rule: 75 FR 2598
4,Alcohol and Controlled Substance Testing for Maintenance-of-Way Employees,201003,Popular Title: Controlled Substance Testing/Maintenance Employees,Alcohol and Controlled Substance Testing for Maintenance-of-Way Employees,Red,RIN 2130-AC10,Stage: NPRM,Previous Stage:None,"Abstract: This rulemaking would revise the Federal Railroad Administration«s alcohol and drug regulations to cover all employees of railroads, railroad contractors, and subcontractors who perform maintenance-of-way activities. The rulemaking would also make other miscellaneous updates to 14 CFR Part 219.",,,,,,,,Prompting action: Statute,Legal Deadline: Final Rule : 10/16/2010 Rulemaking Project Initiated: 10/16/2008 Docket Number: FRA-2009-0039,NA,NA,NA,NA,NA,Rulemaking Project Initiated: Unknown,Docket Number: Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for NPRM: None
5,Risk Reduction Program,201003,Popular Title: Risk Reduction Program,Risk Reduction Program,Green,RIN 2130-AC11,Stage: ANPRM,Previous Stage:None,"Abstract: This rulemaking would require railroads to submit Risk Reduction Programs for review and approval to the FRA Administrator. These programs would be reviewed for annual compliance. The rulemaking would also ensure that railroads comply with their Positive Train Control (PTC) schedules and ensure railroads implement PTC by December 31, 2018, except as required by _ 104 of the Rail Safety Improvement Act of 2008.",Economically Significant Major,,,,,,,Prompting action: Statute,Legal Deadline: Final Rule : 10/16/2012 Rulemaking Project Initiated: 10/16/2008 Docket Number: FRA-2009-0038,NA,NA,NA,NA,NA,Rulemaking Project Initiated: Unknown,Docket Number: Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for ANPRM: None      ,,,,,,,,Federal Register Citation for ANPRM: None
6,Hours of Service - Passenger Train Employees,201003,Popular Title: Hours of Service - Passenger Train Employees,Hours of Service - Passenger Train Employees,Red,RIN 2130-AC15,Stage: NPRM,Previous Stage:None,Abstract: This rulemaking would establish hours of service requirements for train employees engaged in commuter and intercity passenger rail transport.,Economically Significant Major,Information Collection,,,,,,Prompting action: Statute,Legal Deadline: Final Rule : 10/16/2011 Rulemaking Project Initiated: 10/16/2008 Docket Number:,NA,NA,NA,NA,NA,Rulemaking Project Initiated: Unknown,Docket Number: Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for NPRM: None
7,Restriction of Improper Use of Cellular Telephones and Other Electronic and Electrical Devices,201003,Popular Title: Restriction of Cellular Telephones and Devices,Restriction of Improper Use of Cellular Telephones and Other Electronic and Electrical Devices,Green,RIN 2130-AC21,Stage: NPRM,Previous Stage:None,Abstract: This rulemaking would restrict railroad operating employees from improperly using cellular telephones and other distracting electronic and electrical devices.,,,,,,,,Prompting action: Secretarial/Head of Operating Administration Decision,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 11/09/2009,Docket Number: FRA-2009-0118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for NPRM: None      ,,,,,,,,Federal Register Citation for NPRM: None
8,Maritime Administration,201003,Popular Title: Foreign Reconstruction and Rebuild Determinations,Foreign Reconstruction and Rebuild Determinations,Black,RIN 2133-AB69,Stage: Undetermined,Previous Stage: None,Abstract: In this rulemaking MARAD will consider whether to amend its Capital Construction Fund and cargo preference regulations to set out specific procedures for determining when a vessel is no longer eligible for such programs because the vessel has been either reconstructed or rebuilt abroad.,Foreign,,,,,,,Prompting action: Secretarial/Head of Operating Administration Decision,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 05/29/2007,Docket Number:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Undetermined: None      ,,,,,,,,Federal Register Citation for Undetermined: None
9,"Regulations To Be Followed by All Departments, Agencies and Shippers Having Responsibility To Provide a Preference for U.S.-Flag Vessels in the Shipment of Cargoes on Ocean Vessels.",201003,Popular Title: Cargo Preference,"Regulations To Be Followed by All Departments, Agencies and Shippers Having Responsibility To Provide a Preference for U.S.-Flag Vessels in the Shipment of Cargoes on Ocean Vessels.",Black,RIN 2133-AB74,Stage: Undetermined,Previous Stage: ANPRM: Publication Date 03/04/09; End of Comment Period 05/04/09,Abstract: This rulemaking would revise and clarify the Cargo Preference rules that have not been revised substantially since 1971. Revisions would include an updated purpose and definitions section along with the removal of obsolete provisions.,Information Collection Foreign,,,,,,,Prompting action: Secretarial/Head of Operating Administration Decision,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 08/21/2008,Docket Number:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Undetermined: None      ,,,,,,,,Federal Register Citation for Undetermined: None
10,"Cargo Preference - Compromise, Assessment, Mitigation, Settlement & Collection of Civil Penalties",201003,Popular Title: Cargo Preference Statutory Changes,"Cargo Preference - Compromise, Assessment, Mitigation, Settlement & Collection of Civil Penalties",Red,RIN 2133-AB75,Stage: Undetermined,Previous Stage:None,"Abstract: This rulemaking would establish Part 383 of the Cargo Preference regulations. This rulemaking would cover P.L. 110-417, Section 3511 National Defense Authorization Act for FY2009 statutory changes to the cargo preference rules, which have not been substantially revised since 1971. The rulemaking also would include compromise, assessment, mitigation, settlement, and collection of civil penalties.",Regulatory Flexibility Act Information Collection Foreign,,,,,,,Prompting action: Statute,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 01/16/2009,Docket Number:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Undetermined: None      ,,,,,,,,Federal Register Citation for Undetermined: None
