Office of the Secretary,,,,,,,,,,,,,
Protection of Sensitive Security Information,,,,,,,,,,,,Black,
68.,,,,,,,,,,,,,
Popular Title: SSI-TSA,,,,,,,,,,,,,
RIN 2105-AD59,,,,,,,,,,,,,
Stage: Undetermined,,,,,,,,,,,,,
Previous Stage: Interim Final Rule: Publication Date 05/18/2004; End of Comment Period 07/19/2004.,,,,,,,,,,,,,
Abstract: This rulemaking would finalize a May 2004 interim final rule and respond to any comments received on that action. This is a joint rulemaking between DOT and the Transportation Security Administration.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 09/02/2002,,,,,,,,,,,,,
Docket Number: TSA-2003-15569,,,,,,,,,,,,,
Dates for Undetermined:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,,,,,,,,,,,,
To OMB,,,,,,,,,,,,,
OMB Clearance,,,,,,,,,,,,,
Publication Date,,,,,,,,,,,,,
End of Comment Period,,,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,,,
Federal Register Citation for Undetermined: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
Prioritization and Allocation Authority Exercised By the Secretary of Transportation Under the Defense Production Act,,,,,,,,,,,,,Red
69.,,,,,,,,,,,,,
Popular Title: DPA,,,,,,,,,,,,,
RIN 2105-AD83,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
Abstract: This rulemaking would clarify the prioritization and allocation authorities,,,,,,,,,,,,,
exercised by the Secretary of Transportation under the Defense Production Act (DPA). The,,,,,,,,,,,,,
"DPA is the President«s primary authority to ensure timely availability of private sector resources for national defense. In addition to military and energy activities, the definition of ""national defense"" includes emergency preparedness activities conducted pursuant to Title   VI of The Robert T. Stafford Disaster Relief and Emergency Assistance Act and the protection and restoration of critical infrastructure. Under Title I of the DPA, the President has the authority to require the acceptance and prioritization of contracts and orders -- and to allocate materials, services, and facilities -- in support of the national defense. Under Section 201 of Executive Order 12919, the President has delegated these prioritization and allocation authorities to the Secretary of Transportation for all forms of civil transportation. In the 2009 DPA reauthorization legislation, Congress mandated that each Federal agency with delegated authority under Title I of the DPA develop final rules that establish standards and procedures for implementing its delegated authority in emergency and nonemergency conditons.",,,,,,,,,,,,,
"Additionally, Congress mandated that, to the extent practacable, the rules be consistent and unifed. DOT is part of an interageny working group, along with the other delegated agencies, that is developing consistent unifed rules.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Information Collection,,,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,,,
Legal Deadline: Final rule : 06/27/2010 Rulemaking Project Initiated: 01/07/2009 Docket Number:,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,01/09/2009,,,08/17/2010,,,09/07/2010,,,,,
To OMB,,02/01/2009,,,10/06/2010,,,,,,,,
OMB Clearance,,03/01/2009,,,12/06/2010,,,,,,,,
Publication Date,,03/01/2009,,,12/06/2010,,,,,,,,
End of Comment Period,,05/01/2009,,,02/06/2010,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
NPRM On the Use of the Seat-Strapping Method for Carrying a Wheelchair on an Aircraft,,,,,,,,,,,,,Red
70.,,,,,,,,,,,,,
Popular Title: Seat-Strapping,,,,,,,,,,,,,
RIN 2105-AD87,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage: None,,,,,,,,,,,,,
Abstract: This rulemaking would address whether carriers should be allowed to utilize the seat-strapping method to stow a passenger«s wheelchair in the aircraft cabin.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Regulatory Flexibility Act Prompting action: None Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 04/30/2009,,,,,,,,,,,,,
Docket Number:,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,03/05/2010,,,09/11/2010,,,,,,,,
To OMB,,,,,10/01/2010,,,,,,,,
OMB Clearance,,,,,01/28/2011,,,,,,,,
Publication Date,,03/29/2010,,,02/09/2011,,,,,,,,
End of Comment Period,,05/29/2010,,,04/07/2011,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
"Stowage of Wheelchairs, other mobility Aids and other Assistive Devices",,,,,,,,,,,,,Red
71.,,,,,,,,,,,,,
Popular Title: Stowage and Assistive Devices,,,,,,,,,,,,,
RIN 2105-AD90,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
"Abstract: This rulemaking would amend 14 CFR Part 382 (Part 382) by including Subpart I (14 CFR 382.121-382.133) in the list of subparts with which a U.S. carrier must comply with respect to passengers traveling under its code on flights operated by a foreign carrier between two foreign points. This rulemaking would also amend Part 382 to eliminate the labeling requirements for FAA approved portable oxygen concentrators and specify that ventilators, respirators and Continuous Positive Airway Pressure (CPAP) machines must be allowed for use in the passenger cabin as long as they comply with applicable safety, security, and hazardous materials rules. In addition, this rule would amend the provision in Part 382 that allows carriers to require a passenger who wishes to use an FAA-approved portable oxygen concentrator in the aircraft cabin to provide a medical certificate dated within 10 days of the passenger«s initial flight.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 03/02/2009,,,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,,,
